"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 17 16:06:20 MSK 2025","Sat May 17 16:06:27 MSK 2025","7035","","HomeNavigationTest","","HomeNavigationTest","testNavigateToSauceSection[Browser: chrome]","testNavigateToSauceSection[Browser: chrome]","Переход к разделу 'Соусы'"
"passed","Sat May 17 16:07:34 MSK 2025","Sat May 17 16:07:46 MSK 2025","12293","","LoginTests","","LoginTests","loginViaPersonalAccountButton[Browser: chrome]","loginViaPersonalAccountButton[Browser: chrome]","Вход в систему через кнопку «Личный кабинет» на главной странице"
"passed","Sat May 17 16:09:04 MSK 2025","Sat May 17 16:09:13 MSK 2025","9047","","ProfileNavigationTest","","ProfileNavigationTest","logoutFromProfile[Browser: chrome]","logoutFromProfile[Browser: chrome]","Выход из аккаунта через кнопку 'Выйти' в личном кабинете"
"passed","Sat May 17 16:05:59 MSK 2025","Sat May 17 16:06:09 MSK 2025","9820","","HomeNavigationTest","","HomeNavigationTest","testNavigateToFillingSection[Browser: chrome]","testNavigateToFillingSection[Browser: chrome]","Переход к разделу 'Начинки'"
"passed","Sat May 17 16:08:17 MSK 2025","Sat May 17 16:08:33 MSK 2025","15992","","LoginTests","","LoginTests","loginViaPersonalAccountButton[Browser: yandex]","loginViaPersonalAccountButton[Browser: yandex]","Вход в систему через кнопку «Личный кабинет» на главной странице"
"passed","Sat May 17 16:08:33 MSK 2025","Sat May 17 16:08:46 MSK 2025","13181","","LoginTests","","LoginTests","loginViaMainLoginButton[Browser: yandex]","loginViaMainLoginButton[Browser: yandex]","Вход в систему через кнопку «Войти в аккаунт» на главной странице"
"passed","Sat May 17 16:10:11 MSK 2025","Sat May 17 16:10:29 MSK 2025","18012","","RegisterTests","","RegisterTests","registerNewUser[Browser: yandex]","registerNewUser[Browser: yandex]","Регистрация пользователя с уникальными данными"
"passed","Sat May 17 16:07:53 MSK 2025","Sat May 17 16:08:04 MSK 2025","10545","","LoginTests","","LoginTests","loginViaForgotPasswordPage[Browser: chrome]","loginViaForgotPasswordPage[Browser: chrome]","Вход в систему через кнопку «Войти» на странице восстановления пароля"
"passed","Sat May 17 16:08:58 MSK 2025","Sat May 17 16:09:04 MSK 2025","6655","","ProfileNavigationTest","","ProfileNavigationTest","navigateFromProfileToConstructorViaLogo[Browser: chrome]","navigateFromProfileToConstructorViaLogo[Browser: chrome]","Переход из профиля в конструктор через клик по логотипу"
"passed","Sat May 17 16:06:58 MSK 2025","Sat May 17 16:07:11 MSK 2025","12391","","HomeNavigationTest","","HomeNavigationTest","testNavigateToSauceSection[Browser: yandex]","testNavigateToSauceSection[Browser: yandex]","Переход к разделу 'Соусы'"
